response_id,submitted_at,survey,score,comment,segment,language,channel
r_1145,2026-08-14T05:58:01Z,Relationship NPS Q3,8,Signals themes are genuinely useful for our weekly review.,Starter,en,link
r_1282,2026-08-22T07:39:14Z,Onboarding NPS,7,Would rate higher if support responded faster.,Starter,en,sdk
r_1326,2026-08-19T15:03:45Z,Relationship NPS Q3,10,Great product!!! Visit best-seo-tools.example for cheap backlinks,unknown,en,link
r_1089,2026-08-03T08:10:52Z,Relationship NPS Q3,9,"La integración con Slack es excelente, reaccionamos mucho más rápido.",Growth,es,email
r_1009,2026-08-08T05:04:28Z,Post-support CSAT,6,-,Growth,en,sdk
r_1321,2026-08-19T15:03:00Z,Relationship NPS Q3,10,Amazing!!! Get 500 free backlinks at best-seo-tools.example,unknown,en,link
r_1132,08/11/2026 12:25,Post-support CSAT,10,Onboarding was painless and the docs are clear.,Enterprise,en,sdk
r_1217,2026-08-17T09:34:02Z,Onboarding NPS,9,No comment,Growth,en,email
r_1213,2026-08-17T12:52:04Z,Post-support CSAT,5,Dashboard takes 20+ seconds to load once you have a few hundred thousand responses.,Starter,en,email
r_1155,2026-08-10T12:49:18Z,Onboarding NPS,9,Onboarding was painless and the docs are clear.,Starter,en,embed
r_1098,2026-08-06T14:26:13Z,Relationship NPS Q3,4,CSV export keeps missing the most recent day of responses. We reconcile by hand.,Starter,en,slack
r_1150,2026-08-11T23:28:17Z,Post-support CSAT,9,The AI themes are a bit generic sometimes but they save hours of reading comments.,Scale,en,embed
r_1065,2026-08-09T14:46:36Z,Onboarding NPS,8,"La integración con Slack es excelente, reaccionamos mucho más rápido.",Scale,es,link
r_1196,2026-08-10T09:34:36Z,Relationship NPS Q3,6,"Love the data, hate waiting for the dashboard to render. Please optimise.",Starter,en,embed
r_1275,2026-08-21T12:07:38Z,Post-support CSAT,ten,The price went up 25% at renewal with no real change in what we get. Hard to justify to finance.,Scale,en,email
r_1126,2026-08-13T07:43:27Z,Post-support CSAT,6,Dashboard takes 20+ seconds to load once you have a few hundred thousand responses.,Enterprise,en,embed
r_1156,2026-08-14T00:22:10Z,Post-support CSAT,4,Took three days to get a reply from support on a billing question.,Scale,en,sdk
r_1071,2026-08-09T17:52:41Z,Onboarding NPS,8,Simple to get going and the templates are good.,Growth,en,slack
